owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile
jaredhanson,utils-merge,34.5,3.5,,50.2,84.4,1.4,4.1,,,39.1,13.7,15.3,96.6,30.9,16.9,45.2,,5.5,10.1,23.0
sindresorhus,normalize-url,39.0,34.1,4.1,42.5,75.5,12.5,14.6,9.8,12.9,52.9,42.3,44.6,90.6,34.0,36.2,39.5,11.1,58.1,33.1,35.1
jshttp,fresh,24.8,18.1,,24.2,57.0,1.4,4.2,,,43.4,18.4,20.0,97.0,38.4,31.4,43.5,10.7,40.0,13.3,25.3
pvorb,node-clone,34.4,7.4,,51.4,78.8,1.9,5.8,,,53.2,40.7,46.7,82.5,42.8,29.6,33.3,,55.6,29.8,29.8
SBoudrias,Inquirer.js,46.4,23.0,28.2,82.1,52.2,38.5,39.0,39.2,37.3,78.2,89.0,83.4,81.1,59.2,45.9,51.1,39.7,46.9,70.3,52.2
jshttp,etag,26.8,31.7,,18.8,56.7,3.7,11.2,,,43.9,22.7,21.9,97.4,33.5,19.4,49.6,,8.5,16.1,23.4
dominictarr,through,29.7,6.4,,21.2,91.2,3.7,11.2,,,48.2,38.0,31.0,85.7,38.0,21.6,32.9,,31.9,24.2,25.8
pillarjs,parseurl,25.7,31.7,,18.4,52.6,6.0,18.0,,,40.0,19.9,18.0,97.1,25.1,22.8,42.8,8.4,17.2,14.6,23.6
Raynos,xtend,36.4,31.7,,25.3,88.8,3.7,11.0,,,44.9,25.3,23.4,92.4,38.6,27.2,35.7,,45.8,17.5,28.1
petkaantonov,bluebird,38.8,41.2,,52.4,61.6,5.2,15.5,,,82.1,90.0,91.6,91.1,55.7,47.5,86.3,,56.2,62.3,43.4
jshttp,type-is,24.8,16.0,,26.6,56.7,4.7,12.7,1.4,,45.3,21.9,20.9,95.0,43.5,28.6,45.5,,40.2,15.8,25.9
jestjs,jest,44.3,48.4,27.0,92.5,9.3,49.0,58.0,45.4,43.5,84.0,96.8,96.6,85.8,56.7,58.8,42.5,46.1,87.7,80.8,59.0
webpack,webpack,56.7,56.7,32.2,79.5,58.5,47.4,56.9,44.5,40.7,89.4,98.5,97.2,91.8,70.0,62.1,76.9,42.5,67.1,81.0,63.9
sindresorhus,arrify,31.2,15.0,,34.4,75.5,8.4,25.3,,,34.6,17.2,18.2,80.9,21.9,25.3,39.8,,36.0,14.6,24.9
fb55,htmlparser2,44.9,51.6,29.8,42.6,55.6,36.7,42.2,43.5,24.4,70.0,67.7,68.2,88.4,55.9,44.8,55.1,34.5,44.6,57.5,49.1
justmoon,node-extend,35.9,31.0,0.5,32.7,79.3,11.1,28.7,0.9,3.7,30.5,27.4,33.5,21.8,39.3,19.5,18.6,6.9,33.0,24.0,24.2
typescript-eslint,typescript-eslint,34.0,37.5,29.4,64.5,4.5,52.3,65.3,47.8,43.9,73.8,85.3,92.3,86.1,31.4,65.4,82.0,47.2,67.2,76.6,56.4
jonschlinkert,word-wrap,39.5,18.2,17.2,41.6,81.1,25.8,43.2,21.1,13.0,40.1,19.7,25.7,86.9,28.1,28.4,40.9,8.3,35.9,23.7,33.4
primus,eventemitter3,30.0,40.1,7.3,19.2,53.3,18.6,41.3,10.8,3.8,64.1,63.8,56.6,91.4,44.6,35.3,41.3,6.2,58.4,46.3,37.0
isaacs,node-tar,43.6,31.1,4.6,52.0,86.7,18.0,42.9,7.2,3.9,38.0,41.3,51.3,11.0,48.4,24.1,17.4,18.2,36.5,36.9,30.9
oozcitak,xmlbuilder-js,21.5,27.4,,27.3,31.4,10.7,32.1,,,54.7,44.7,42.0,75.5,56.6,34.1,69.2,,33.2,32.5,30.3
nodeca,pako,26.8,30.6,,19.3,57.1,13.3,40.0,,,64.7,70.5,76.8,84.9,26.6,28.7,46.7,11.2,28.4,53.5,33.4
npm,npmlog,51.4,27.7,24.3,92.3,61.1,25.5,36.2,28.1,12.2,46.5,30.8,30.7,81.4,42.9,39.0,36.7,24.1,56.2,29.0,40.6
zertosh,loose-envify,19.0,7.8,,22.7,45.5,10.9,32.7,,,37.4,24.1,18.3,92.9,14.2,15.9,40.9,,6.9,17.8,20.8
isaacs,json-stringify-safe,31.1,16.7,,21.3,86.6,10.8,32.3,,,45.2,34.7,27.5,84.7,33.8,19.5,41.5,,16.9,24.3,26.6
facebook,prop-types,38.0,24.3,3.7,77.5,46.3,18.0,41.0,8.5,4.5,57.7,68.1,65.9,89.9,6.9,51.5,81.2,8.5,64.9,50.7,41.3
crypto-browserify,randombytes,8.3,13.5,0.5,19.1,,13.6,35.3,0.9,4.6,38.1,14.8,26.2,92.3,18.9,25.8,38.1,2.3,36.9,18.2,21.4
maxogden,concat-stream,10.3,8.7,,32.3,,10.5,31.6,,,48.2,35.9,33.2,86.2,37.4,27.1,37.9,,43.4,26.5,24.0
terkelg,prompts,29.4,26.6,8.2,53.3,29.3,27.8,47.7,15.4,20.1,60.7,77.5,61.8,84.8,18.7,46.7,60.2,15.2,64.8,55.7,41.1
sindresorhus,component-emitter,44.6,39.2,4.6,58.4,76.2,19.8,38.0,9.2,12.3,52.5,36.5,43.4,87.8,42.3,33.9,36.6,9.4,55.8,33.2,37.7
jsdom,jsdom,37.0,26.5,29.0,54.6,37.7,39.4,56.8,34.9,26.5,82.9,89.3,87.4,85.3,69.8,54.5,61.2,30.6,71.8,72.0,53.5
