owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile
mokkabonna,inquirer-autocomplete-prompt,39.7,38.0,16.8,40.3,63.5,21.2,25.6,24.2,13.7,30.3,27.2,36.5,38.8,18.9,40.5,60.9,16.8,43.7,28.3,32.9
browserify,watchify,36.1,17.7,,62.4,64.5,5.2,15.7,,,45.3,55.4,54.9,38.7,32.2,33.1,40.8,,58.4,38.5,29.9
Reactive-Extensions,RxJS,38.8,11.0,,82.6,61.7,5.2,15.7,,,66.4,89.2,90.7,27.0,58.7,25.3,25.8,,50.2,61.7,33.9
TryGhost,node-sqlite3,47.8,48.9,28.6,74.6,39.4,26.6,35.1,31.0,13.8,65.9,72.5,76.9,52.4,61.9,42.9,36.9,21.7,70.0,58.7,45.8
jashkenas,coffeescript,44.6,44.7,15.0,61.4,57.2,18.8,30.4,12.2,13.9,66.4,86.6,90.3,39.5,49.3,44.2,62.0,14.8,55.9,65.2,43.5
jaredhanson,passport-local,36.8,7.6,,55.5,83.9,5.7,15.8,1.1,,57.6,61.2,70.6,56.3,42.1,27.3,43.6,,38.4,45.8,31.8
domenic,sinon-chai,34.9,30.3,,47.1,62.4,7.4,16.1,6.2,,46.6,47.5,42.9,41.6,54.2,38.4,60.0,,55.1,32.6,31.8
gotwarlost,istanbul,24.6,4.5,,57.6,36.2,6.5,19.4,,,61.9,77.8,78.6,54.8,36.2,25.4,35.3,,40.8,54.3,29.6
gruntjs,grunt-cli,31.0,20.6,1.8,30.9,70.8,6.1,17.2,1.2,,46.2,38.8,58.8,47.2,40.0,29.9,29.6,0.9,59.0,34.6,28.3
gruntjs,grunt,44.0,26.0,15.3,63.6,71.2,17.8,25.7,13.8,14.0,71.0,82.4,87.1,61.6,53.0,35.0,35.5,14.8,54.7,62.4,42.0
yeoman,generator,45.4,50.6,32.4,33.6,65.2,30.2,32.4,33.2,24.9,44.5,49.0,63.3,1.5,64.1,41.9,45.1,32.6,47.9,47.5,40.5
BrowserSync,browser-sync,35.8,25.4,28.6,57.2,32.1,23.0,28.1,22.8,18.2,67.6,82.3,75.8,64.6,47.8,46.0,79.0,23.1,35.8,60.4,43.1
facebook,flux,35.4,27.4,,67.8,46.5,4.6,13.8,,,62.1,87.8,94.4,38.9,27.5,50.8,68.5,6.0,77.9,62.3,38.2
inversify,InversifyJS,42.2,33.9,21.8,81.0,32.2,34.2,37.8,28.9,36.0,49.6,80.5,74.9,1.6,41.2,50.3,41.2,29.4,80.5,63.2,44.1
mqttjs,MQTT.js,44.6,37.0,26.6,82.0,33.0,41.4,43.9,40.0,40.3,60.7,76.7,85.5,7.7,72.9,52.9,52.5,42.7,63.4,67.9,49.9
babel,eslint-plugin-babel,29.1,31.1,,42.5,42.8,4.6,13.9,,,32.5,29.1,35.2,39.8,25.9,40.8,58.1,,64.4,23.0,26.8
electron,electron,48.9,42.3,31.5,81.4,40.4,44.7,42.4,48.0,43.7,77.7,99.4,98.4,48.9,64.0,55.4,60.7,46.5,58.9,80.8,56.7
mikeal,watch,30.8,4.0,,49.5,69.5,3.7,11.0,,,52.5,50.5,47.9,65.1,46.5,30.5,35.5,,56.1,34.0,29.4
TooTallNate,keypress,26.4,3.3,,24.1,78.2,3.1,9.2,,,33.6,28.0,30.6,38.0,37.9,17.4,24.9,,27.2,20.6,20.1
hparra,gulp-rename,29.0,17.3,,38.4,60.5,3.7,11.1,,,41.2,38.3,35.1,62.2,29.2,34.5,41.3,,62.2,25.7,27.1
gulp-sourcemaps,gulp-sourcemaps,20.6,22.3,,32.6,27.5,3.1,9.3,,,45.5,47.9,44.1,58.1,32.0,30.1,44.0,,46.4,31.7,24.8
apollographql,apollo-client,44.4,38.7,31.0,69.3,38.6,44.7,45.4,46.2,42.5,64.8,88.9,92.5,41.9,35.9,65.3,70.6,45.3,79.9,75.4,54.8
broccolijs,broccoli-funnel,23.4,17.2,,30.7,45.6,4.9,13.6,1.2,,23.6,13.5,22.1,31.4,27.2,39.2,58.3,,59.1,13.5,22.8
patorjk,figlet.js,27.7,10.1,20.4,59.1,21.1,24.5,21.3,34.7,17.6,49.7,60.1,50.4,45.7,42.7,30.8,58.4,8.8,25.3,45.0,33.2
andyearnshaw,Intl.js,25.1,9.4,,64.8,26.1,5.0,14.9,,,40.8,54.5,57.1,7.3,44.2,37.4,34.4,,77.8,38.9,27.0
koajs,static,40.1,23.7,1.8,63.0,71.7,8.0,14.9,9.1,,33.0,48.3,43.2,10.8,29.9,25.6,24.2,,52.7,33.2,26.7
apache,echarts,51.3,29.6,27.7,84.9,63.0,43.2,47.3,41.1,41.3,75.3,97.8,98.6,46.2,58.8,64.4,66.1,42.6,84.3,79.9,58.6
pksunkara,inflect,30.6,31.1,,64.0,27.3,4.5,13.4,,,35.4,22.1,33.1,45.9,40.4,14.9,27.8,,17.0,19.9,21.3
ericelliott,cuid,44.0,25.4,10.0,70.2,70.4,7.2,15.3,6.2,,48.0,64.4,46.1,42.5,38.9,44.3,69.4,,63.6,39.2,35.9
yeoman,environment,46.8,56.4,33.6,31.8,65.5,29.6,29.1,35.3,24.5,26.4,16.8,34.5,7.5,46.7,34.7,52.4,32.6,19.0,27.0,34.4
flatiron,nconf,29.2,7.2,13.2,35.6,60.8,11.4,16.5,14.3,3.5,54.5,67.1,59.4,38.5,53.1,36.8,35.2,8.7,66.4,46.0,33.0
kolodny,immutability-helper,37.0,23.8,,60.2,63.8,5.1,15.4,,,47.0,70.2,54.4,35.7,27.6,41.8,64.2,,61.1,43.2,32.7
josdejong,mathjs,48.0,37.0,33.1,86.3,35.4,38.7,42.1,38.4,35.7,59.4,84.9,83.2,35.4,33.9,53.9,58.1,38.7,64.9,68.9,50.0
broccolijs,broccoli-merge-trees,25.8,22.1,,35.5,45.7,4.9,14.6,,,22.1,11.1,21.2,31.8,24.4,38.2,57.2,,57.5,12.4,22.8
flatiron,prompt,29.8,7.0,,51.2,61.0,4.9,14.7,,,48.8,56.2,52.6,42.3,44.1,34.3,35.9,,66.9,37.9,29.4
jaredhanson,passport-oauth2,37.6,12.6,8.6,44.8,84.2,11.0,24.3,8.6,,43.6,36.2,64.7,43.5,30.1,28.5,51.0,,34.5,37.3,30.2
ForbesLindesay,sync-request,36.8,32.4,,49.8,65.1,6.9,20.6,,,28.9,26.3,25.8,41.8,21.6,18.5,38.3,,17.3,19.7,22.8
ljharb,tape,46.3,42.2,14.2,80.3,48.3,18.9,26.0,18.0,12.8,55.4,72.1,64.9,49.8,34.9,38.0,37.7,23.9,52.5,52.0,39.7
koajs,bodyparser,42.8,31.4,4.0,64.3,71.5,10.7,21.9,6.5,3.6,36.6,50.7,43.5,26.6,25.8,28.4,26.9,11.6,46.8,35.0,29.6
jashkenas,backbone,46.2,37.8,29.2,60.6,57.4,24.9,26.0,33.2,15.5,68.2,94.8,96.2,34.9,46.8,48.0,54.2,17.9,72.0,72.0,46.8
typicode,lowdb,46.7,45.4,29.5,69.1,42.6,18.9,27.9,20.4,8.5,66.2,90.3,79.7,53.3,41.7,29.8,44.2,13.6,31.6,63.0,40.4
ember-cli,ember-cli-htmlbars,41.2,39.8,25.6,38.0,61.5,27.9,29.2,27.1,27.4,30.4,14.4,31.9,33.9,41.3,47.1,62.7,27.0,51.4,24.7,36.6
mozilla,nunjucks,48.3,37.7,15.1,66.8,73.6,11.7,22.5,12.6,,62.8,77.3,73.1,45.3,55.4,35.8,39.3,4.0,64.2,54.0,39.6
jshint,jshint,41.4,42.6,,69.3,53.5,6.8,19.5,0.8,,70.5,78.2,87.7,49.3,66.7,45.8,69.3,,68.0,57.6,41.1
benjamn,install,30.9,13.8,,37.1,72.7,4.4,13.3,,,26.0,12.9,16.4,40.8,34.0,19.3,51.2,,6.6,11.2,20.2
chenglou,react-motion,31.1,7.2,1.9,55.2,60.0,5.6,13.3,3.5,,57.4,91.1,82.5,34.6,21.2,49.8,75.5,,73.9,59.7,36.0
ChainSafe,web3.js,47.9,46.4,29.1,72.7,43.4,42.4,44.1,42.9,40.1,64.7,88.5,95.9,25.0,49.3,58.8,61.9,43.7,70.8,75.6,53.4
adaltas,node-http-status,34.8,34.8,9.8,57.2,37.5,17.7,20.2,16.0,17.0,27.8,30.6,27.8,7.4,45.2,31.8,22.5,17.1,55.8,25.4,28.0
Medium,phantomjs,22.7,11.1,,26.9,52.7,4.3,12.9,,,52.4,52.4,69.4,37.7,50.2,32.0,35.1,,60.8,42.0,27.8
webpack-contrib,extract-text-webpack-plugin,35.8,31.4,,49.3,62.4,4.3,12.9,,,61.8,67.3,71.3,69.5,39.0,47.7,85.2,,58.0,47.6,37.4
jxson,front-matter,35.6,3.8,,57.2,81.5,7.1,17.6,3.6,,37.2,37.8,35.5,37.3,38.2,27.8,24.5,,59.0,26.8,26.9
reactstrap,reactstrap,40.7,33.8,30.3,82.1,16.6,31.7,35.2,28.6,31.4,62.0,80.2,84.3,50.9,32.7,59.6,78.0,35.5,65.5,65.4,48.5
babel,ember-cli-babel,34.0,28.2,23.4,40.9,43.4,29.6,29.7,31.7,27.3,34.3,18.3,44.3,34.0,40.7,53.5,60.3,27.9,72.2,30.7,37.8
twitter,hogan.js,37.8,20.1,,69.5,61.3,4.3,13.0,,,54.8,70.0,69.7,35.9,43.4,28.1,26.8,3.4,54.2,48.0,31.2
klughammer,node-randomstring,26.8,18.7,,38.3,50.1,4.4,13.1,,,36.1,34.3,35.6,33.7,40.8,21.3,22.5,,41.5,24.8,22.1
jquery,jquery-ui,38.8,19.1,16.3,58.2,61.6,24.5,33.8,18.3,21.4,66.4,81.3,96.1,35.2,53.1,37.8,26.1,20.2,67.2,67.3,41.9
imagemin,imagemin-pngquant,25.7,10.9,1.0,34.0,56.9,5.8,12.8,4.5,,35.2,25.7,36.3,48.6,30.1,29.5,37.6,1.1,49.8,22.6,24.0
getsentry,raven-js,47.5,38.8,28.7,74.4,48.3,41.9,41.1,46.0,38.6,66.8,75.4,86.2,34.5,71.1,63.3,74.9,44.0,71.1,67.8,54.9
showdownjs,showdown,39.8,29.8,5.8,81.2,42.5,8.5,20.9,4.5,,69.5,84.7,87.0,35.0,71.3,36.5,55.6,11.3,42.5,60.1,38.6
angular,angular.js,37.5,24.8,,60.4,64.7,3.3,9.8,,,63.4,98.0,99.3,6.9,49.2,36.1,59.7,,48.8,66.9,35.1
apocas,dockerode,47.0,46.8,20.8,63.8,56.8,19.4,27.8,13.5,16.8,54.9,67.6,68.9,32.0,51.0,41.7,31.3,20.6,73.2,52.0,40.7
dcodeIO,bytebuffer.js,19.8,6.3,,27.6,45.3,3.3,9.9,,,33.9,38.9,50.3,6.7,39.6,14.3,13.1,,29.8,30.8,17.8
vuejs,vue-class-component,33.3,31.8,7.9,46.6,47.0,11.0,19.4,5.1,8.6,52.6,72.2,68.5,38.6,31.3,41.5,73.7,4.3,46.5,50.6,34.6
nickmerwin,node-coveralls,35.7,6.4,,61.5,75.0,3.3,9.9,,,41.1,46.9,60.4,11.1,46.0,40.9,52.5,,70.2,36.9,30.3
hughsk,envify,32.6,7.4,,34.6,88.3,3.3,10.0,,,36.0,44.5,28.5,39.4,31.6,21.6,25.1,,39.8,25.4,23.4
olado,doT,32.7,19.9,5.0,53.9,52.1,6.0,13.2,4.7,,58.5,69.6,81.0,31.7,51.9,16.8,30.2,,20.2,52.2,28.5
tediousjs,node-mssql,41.9,40.1,31.4,69.9,26.1,34.7,34.2,40.1,29.6,47.6,59.0,69.3,8.1,54.1,46.0,42.3,31.8,64.0,54.3,42.6
tj,connect-redis,49.4,53.0,22.0,39.2,83.3,17.0,24.5,12.4,14.2,56.1,61.8,66.4,34.4,61.8,31.0,27.3,25.9,39.9,48.4,38.4
kaorun343,vue-property-decorator,25.9,20.5,,59.6,23.2,3.4,10.2,,,42.7,71.3,67.0,8.2,24.3,23.3,31.1,,38.8,47.2,23.8
contra,gulp-concat,13.7,18.1,,31.1,5.5,3.2,9.6,,,43.5,41.0,44.8,57.1,31.1,32.2,37.6,,59.1,29.7,23.2
standard,standard,45.1,32.6,29.7,84.4,33.8,32.1,32.6,32.6,31.1,64.6,95.2,91.4,47.1,24.6,44.2,32.0,35.1,65.6,72.9,46.5
koajs,router,48.9,29.4,23.8,71.3,71.3,18.3,22.7,18.1,14.3,29.6,42.7,51.9,8.3,15.4,36.4,24.8,15.2,69.1,37.6,33.3
yuanchuan,node-watch,39.4,37.5,21.4,57.4,41.5,14.0,15.2,9.8,16.9,33.9,27.0,24.8,35.5,48.5,25.1,26.9,14.4,34.0,21.9,28.1
prettier,tslint-config-prettier,28.3,24.9,,65.9,22.4,2.8,8.4,,,32.8,49.8,23.7,38.2,19.5,44.4,70.1,,63.0,25.4,27.1
rollup,rollup-plugin-node-resolve,31.5,31.5,,57.6,37.0,2.8,8.4,,,34.0,32.6,39.2,46.8,17.6,39.2,69.4,,48.3,24.9,26.9
ethereumjs,ethereumjs-tx,32.0,31.5,,57.7,38.9,2.8,8.4,,,42.6,40.8,60.1,44.1,25.5,36.9,42.1,,68.7,34.6,28.6
oblador,react-native-vector-icons,49.8,38.7,32.0,82.1,46.2,36.4,37.2,33.3,38.8,68.2,87.2,90.6,55.0,39.9,55.1,74.5,35.0,55.8,71.4,52.4
pvorb,node-sha1,37.2,32.0,,38.3,78.7,2.8,8.5,,,28.3,15.2,14.5,40.5,43.0,14.6,33.7,,10.2,10.8,20.8
ianschmitz,jest-environment-jsdom-fourteen,15.5,1.0,,38.5,22.3,2.8,8.5,,,22.5,10.8,10.5,63.4,5.4,17.2,49.3,,2.4,8.0,14.5
ant-design,babel-plugin-import,27.5,23.0,9.9,39.3,37.8,16.4,18.1,13.8,17.3,49.4,63.5,67.5,41.1,25.6,41.4,44.9,15.8,63.6,49.1,33.7
geowarin,friendly-errors-webpack-plugin,28.5,3.8,,59.7,50.5,2.9,8.6,,,40.2,39.9,37.4,62.4,21.1,41.2,78.6,,45.0,26.7,28.2
vuejs,babel-helper-vue-jsx-merge-props,21.0,13.6,,23.2,47.4,2.7,8.1,,,22.2,11.3,13.7,54.7,9.3,15.2,32.8,,12.9,9.2,15.3
jadejs,jade,22.0,32.8,,55.4,,6.2,18.7,,,74.7,90.9,89.4,55.9,62.4,45.7,71.6,2.6,62.8,62.2,37.2
terinjokes,gulp-uglify,30.7,24.0,,44.9,54.0,2.7,8.2,,,50.1,49.5,51.0,60.1,39.8,22.4,47.5,,19.6,34.4,26.5
gruntjs,grunt-contrib-copy,32.9,11.6,,48.5,71.2,2.7,8.2,,,45.6,39.2,54.0,52.8,36.4,30.5,37.2,,54.3,32.0,27.9
fluent-ffmpeg,node-fluent-ffmpeg,42.0,36.8,12.7,68.9,49.5,14.6,23.3,18.5,1.9,49.8,74.9,78.9,0.9,44.6,40.6,37.4,11.4,73.2,56.1,36.8
vpulim,node-soap,32.4,,10.3,83.4,36.0,7.3,8.3,13.5,,54.3,62.6,86.3,0.8,67.3,39.9,44.6,5.2,69.8,52.1,33.5
systemjs,systemjs,40.8,39.0,15.6,68.3,40.4,19.8,25.2,17.4,16.7,66.6,83.3,81.8,40.6,60.9,32.4,38.7,16.8,41.6,61.6,39.9
gruntjs,grunt-contrib-clean,34.5,16.9,,49.8,71.3,2.8,8.3,0.1,,39.3,34.1,32.3,53.4,37.5,41.7,60.0,7.5,57.7,23.1,29.6
gruntjs,grunt-contrib-watch,33.7,11.5,,52.1,71.3,2.8,8.5,,,54.1,57.8,66.0,56.7,36.0,33.7,39.0,2.1,60.1,42.2,31.1
redux-utilities,redux-actions,26.5,29.5,,38.3,38.0,7.6,13.2,9.6,,51.1,73.6,62.3,35.3,33.1,43.8,56.3,5.7,69.5,47.8,32.2
tschaub,gh-pages,45.5,29.8,32.4,56.4,63.4,29.1,23.7,35.9,27.6,54.8,63.6,52.8,66.4,36.5,43.8,51.2,27.4,52.7,48.5,43.3
redux-form,redux-form,27.9,17.1,4.4,77.6,12.6,3.7,8.7,2.4,,63.2,83.1,87.5,38.3,43.7,50.0,74.2,,75.8,58.1,36.2
patrick-steele-idem,child-process-promise,28.8,5.6,,40.0,69.7,2.7,8.0,,,26.4,22.9,20.5,32.1,30.2,21.0,41.6,,21.3,15.4,19.7
node-modules,urllib,43.2,45.4,15.5,54.2,57.9,27.3,25.5,30.8,25.7,43.5,39.1,42.4,31.2,61.4,36.6,34.7,31.5,43.8,36.3,37.7
bitcoinjs,bip39,27.9,20.8,2.6,49.9,38.5,11.0,13.8,4.8,14.4,45.3,46.3,68.4,41.5,25.0,41.0,51.5,10.7,60.7,41.9,31.3
discordjs,discord.js,37.5,42.6,27.2,62.2,18.1,44.1,44.3,45.5,42.6,70.6,93.0,94.8,51.1,43.6,57.0,68.2,45.5,57.3,77.3,52.3
ElemeFE,element,38.4,33.1,16.7,59.5,44.4,34.9,41.4,30.5,32.8,58.1,97.7,98.3,0.7,35.9,52.5,62.7,27.5,67.2,77.0,46.0
Level,level,45.2,38.8,20.8,77.0,44.2,16.2,21.6,12.7,14.5,47.4,53.2,43.3,41.0,52.1,33.8,28.1,13.9,59.2,37.6,35.6
gruntjs,grunt-contrib-uglify,35.8,23.1,,49.0,71.2,5.7,12.7,4.4,,56.4,53.1,66.7,57.0,48.9,49.2,63.7,6.5,77.5,41.8,36.8
rollup,rollup-plugin-commonjs,27.4,31.3,,41.5,36.8,4.3,12.8,,,34.2,33.9,44.5,44.9,13.5,40.2,70.8,,49.8,27.6,26.5
robrich,gulp-if,28.7,19.0,,41.3,54.6,4.3,12.8,,,32.0,37.6,18.8,44.3,27.1,18.7,35.1,,20.9,20.2,20.9
grpc,grpc-node,37.5,27.6,28.0,70.3,24.1,38.6,36.4,42.7,36.7,44.0,67.8,72.6,0.5,35.1,38.1,29.0,34.5,50.9,59.7,39.5
aheckmann,gm,32.1,4.8,,53.1,70.7,4.7,13.8,0.3,,57.0,74.1,73.4,32.5,48.0,30.9,33.6,,59.0,50.7,31.2
DiegoRBaquero,node-os,17.1,,,28.6,40.0,2.5,7.4,,,16.4,9.7,10.0,36.0,10.1,11.4,31.9,,2.5,7.4,11.9
helloIAmPau,node-spinner,17.4,14.3,,41.5,13.7,2.5,7.5,,,24.9,23.6,16.7,31.0,28.5,26.4,30.3,,48.8,14.3,17.8
Level,leveldown,31.1,27.5,7.3,45.4,44.0,2.6,7.5,0.3,,46.6,40.3,53.4,36.5,56.4,33.5,42.0,5.3,53.2,32.1,28.5
lazd,gulp-replace,29.7,19.9,,39.9,59.1,2.5,7.5,,,38.5,33.5,37.9,43.8,38.8,30.7,52.5,,39.7,24.6,25.4
karma-runner,karma-mocha,29.6,13.0,,41.1,64.2,2.7,8.0,,,37.1,28.8,39.6,43.0,36.8,46.5,72.2,7.4,60.0,23.7,29.0
sindresorhus,deep-assign,41.5,31.3,,57.0,77.8,2.4,7.1,,,27.6,22.6,22.0,51.6,14.0,19.4,37.7,,20.6,15.7,22.7
Semantic-Org,Semantic-UI-React,46.5,41.9,15.8,64.3,63.9,29.4,34.4,26.6,27.2,63.2,83.7,95.1,42.7,31.2,54.2,79.6,27.4,55.8,69.4,48.3
reactjs,react-router-redux,25.6,31.6,,37.8,33.0,4.2,12.6,,,48.0,76.2,73.6,16.1,26.1,45.7,68.4,,68.8,51.3,30.9
koajs,koa-body,43.3,9.3,19.9,72.9,71.3,7.9,17.2,4.6,2.0,39.0,45.1,44.7,37.4,28.9,39.5,53.5,3.2,61.8,32.6,32.5
bahamas10,node-clear,28.8,13.3,,23.5,78.4,4.2,12.5,,,25.0,15.7,11.9,34.7,37.5,11.3,31.3,,2.5,10.6,17.3
babel,gulp-babel,29.2,17.3,,56.4,43.1,4.2,12.5,,,42.4,51.2,46.4,46.5,25.4,40.6,66.0,,55.9,33.9,29.1
Trott,slug,42.4,27.5,24.6,55.6,62.0,23.7,21.5,30.5,19.1,20.3,25.4,20.3,33.1,2.2,40.7,48.8,28.0,45.2,23.1,31.8
elastic,elasticsearch-js-legacy,29.6,31.6,,36.8,49.9,2.4,7.1,,,9.7,12.8,21.6,2.9,1.4,30.6,35.7,,56.2,12.3,18.1
enricomarino,is,39.3,21.3,,58.6,77.2,2.4,7.2,,,32.1,20.0,19.5,47.0,42.0,19.7,40.5,,18.5,14.0,23.4
jgthms,bulma,45.6,42.3,31.9,65.8,42.5,30.9,31.9,31.2,29.5,65.5,97.4,94.9,45.4,24.2,44.8,66.3,27.8,40.2,74.4,46.7
koajs,mount,36.0,11.3,,61.6,71.1,2.4,7.2,,,24.1,35.1,28.7,2.8,29.9,23.2,27.8,,41.8,22.1,21.4
gruntjs,grunt-contrib-concat,34.6,10.3,9.7,47.5,71.0,9.8,12.1,2.7,14.6,46.4,41.8,52.2,52.9,38.5,42.5,61.4,9.8,56.2,34.6,33.3
aseemk,requireDir,29.1,14.5,,39.0,62.9,2.3,6.8,,,27.7,33.3,29.2,2.7,45.5,19.3,30.0,,28.0,21.6,19.6
yeoman,yosay,34.8,30.2,1.5,42.3,65.0,4.0,7.3,3.0,1.6,26.4,20.9,24.4,30.4,29.8,25.3,31.5,4.3,40.1,16.4,22.6
felixge,node-require-all,34.5,20.2,,39.0,78.8,2.3,6.8,,,31.4,25.0,26.5,32.9,41.3,22.5,29.3,,38.1,17.9,22.7
sindresorhus,gulp-autoprefixer,41.5,26.9,1.4,59.7,77.8,8.2,13.5,2.9,8.1,37.2,38.4,26.4,56.4,27.8,26.1,40.9,4.8,32.5,24.3,28.2
hokaccha,node-jwt-simple,28.3,5.5,,36.8,70.9,2.3,6.9,,,43.7,51.7,48.7,33.8,40.8,32.7,53.3,,44.8,34.2,26.8
scniro,gulp-clean-css,22.9,18.8,0.7,38.9,33.4,3.8,10.9,0.6,,36.6,37.3,29.3,52.2,27.4,21.3,43.8,,20.0,23.5,21.1
floatdrop,gulp-plumber,30.9,7.9,,38.9,77.0,2.3,7.0,,,35.2,41.7,20.1,51.7,27.2,21.0,40.7,,22.4,21.4,22.4
restify,node-restify,44.7,46.0,13.6,74.5,44.8,16.2,20.4,12.5,15.7,54.4,80.4,80.8,1.0,55.3,37.0,28.6,16.4,66.1,59.1,38.1
apollographql,react-apollo,30.9,19.4,,65.7,38.7,2.9,8.6,,,55.5,73.9,77.2,36.3,34.5,38.7,64.7,,51.5,51.3,32.0
postcss,gulp-postcss,35.7,40.9,6.1,45.2,50.8,10.9,11.9,12.6,8.2,40.1,40.6,33.9,45.5,40.3,33.2,39.2,7.7,52.8,28.5,30.0
OverZealous,run-sequence,28.1,30.2,,37.6,44.6,2.9,8.7,,,36.6,45.5,29.4,44.5,26.9,25.1,56.1,,19.1,25.9,23.2
koajs,logger,36.0,12.4,,60.4,71.1,2.9,8.7,,,31.6,35.5,40.0,19.5,31.6,30.4,34.8,,56.3,26.1,25.2
jaredhanson,passport-oauth,32.1,5.1,1.3,37.7,84.5,3.1,8.8,0.6,,29.4,15.9,27.4,31.9,42.3,16.4,37.8,,11.4,15.5,20.3
hughsk,vinyl-source-stream,37.5,24.3,,37.6,88.3,2.9,8.8,,,28.0,26.6,19.3,39.2,27.0,22.0,33.9,,32.0,16.3,22.6
MoOx,postcss-cssnext,35.0,30.5,,56.3,53.2,2.9,8.8,,,52.6,70.7,56.5,42.1,41.3,40.4,77.3,,43.8,43.4,32.7
ivogabe,gulp-typescript,20.9,21.6,,30.1,31.8,2.1,6.4,,,42.5,41.9,46.9,34.2,47.0,34.2,53.0,,49.6,30.3,24.9
sindresorhus,gulp-filter,42.5,27.4,5.9,59.5,77.3,13.5,17.0,7.6,15.8,30.1,25.9,22.4,37.5,34.8,28.2,31.7,12.4,40.6,20.6,28.6
adametry,gulp-eslint,26.4,21.5,,55.0,29.0,2.1,6.4,,,37.2,35.7,43.7,40.1,29.1,42.2,63.9,,62.8,27.2,27.0
sindresorhus,gulp-imagemin,44.3,38.5,0.8,62.2,75.6,7.4,12.2,1.6,8.3,48.9,56.3,51.2,51.2,36.8,30.6,36.1,7.2,48.6,38.3,32.8
hughsk,vinyl-buffer,38.2,30.5,,34.1,88.2,2.0,6.0,,,22.1,14.3,11.8,36.6,25.6,17.3,32.9,,18.9,9.4,19.9
jaredhanson,connect-flash,32.0,3.9,,40.0,84.1,2.0,6.0,,,46.5,49.6,49.5,47.4,39.6,16.3,42.8,,6.2,33.7,24.2
palantir,tslint-react,27.9,28.7,,31.4,51.5,2.0,6.0,,,34.1,40.0,35.9,34.1,26.4,30.8,49.6,,42.9,26.0,23.7
karma-runner,karma-phantomjs-launcher,27.0,5.8,,38.0,64.0,2.0,6.1,,,37.7,24.0,45.8,47.6,33.5,38.2,67.1,,47.6,23.9,26.2
s-panferov,awesome-typescript-loader,33.5,6.2,,77.1,50.8,2.0,6.1,,,44.6,59.7,52.9,37.9,27.9,33.0,65.5,,33.4,38.2,28.3
gruntjs,grunt-contrib-jshint,37.3,18.0,15.1,45.3,71.1,14.8,12.1,14.6,17.8,49.2,39.0,55.7,55.3,46.8,49.2,64.8,16.2,66.5,36.5,37.6
clessg,progress-bar-webpack-plugin,21.4,4.3,,36.9,44.2,2.1,6.2,,,25.6,30.7,24.7,33.4,13.7,24.8,32.7,,41.9,19.2,18.5
gulp-community,gulp-less,27.7,23.5,,35.7,51.8,3.1,9.2,,,39.9,35.4,42.7,42.6,39.0,34.1,38.0,,64.2,27.1,26.2
jackfranklin,gulp-load-plugins,45.9,28.7,,80.7,74.4,1.9,5.7,,,37.0,40.2,29.7,42.2,35.9,37.1,51.2,,60.0,23.9,30.5
floatdrop,gulp-watch,34.3,15.1,,45.2,77.0,3.0,9.1,,,38.4,37.2,41.4,40.4,34.6,35.5,63.1,,43.4,27.2,27.8
buglabs,node-xml2json,27.8,7.4,,30.2,73.7,1.9,5.8,,,37.3,42.0,56.0,7.6,43.7,35.0,45.9,,59.1,33.3,25.5
jdesboeufs,connect-mongo,44.3,47.5,17.6,72.1,40.2,15.5,19.7,10.9,15.9,52.8,57.4,65.3,43.2,45.3,48.6,73.7,14.4,57.6,46.1,40.3
loganfsmyth,babel-plugin-transform-decorators-legacy,24.5,10.5,,39.2,48.2,1.9,5.8,,,31.6,42.4,28.6,41.2,14.1,20.8,48.5,,13.8,24.3,19.7
maritz,node-sprintf,28.0,32.2,,28.6,51.2,2.0,5.9,,,26.0,13.9,12.8,31.1,46.4,20.0,28.1,,31.8,9.6,19.0
ryanmcgrath,wrench-js,20.2,7.2,,29.9,43.5,2.0,5.9,,,36.6,31.0,33.3,33.6,48.7,25.4,29.0,,47.1,22.1,21.0
pull-stream,pull-stream,29.9,8.5,,52.8,58.2,2.0,5.9,,,36.9,41.1,35.0,38.4,33.1,24.1,30.8,,41.5,26.0,23.2
mikaelbr,gulp-notify,32.0,10.2,,54.4,63.3,2.8,7.6,0.7,,33.2,36.6,23.3,43.7,29.2,26.3,52.5,,26.4,20.9,23.5
evilstreak,markdown-js,25.5,5.7,,46.4,49.8,2.5,7.6,,,53.5,75.6,79.3,8.4,50.8,21.9,26.0,,39.5,52.5,25.9
Polymer,polymer,44.2,53.4,13.5,67.7,42.1,9.0,11.3,15.8,,66.3,91.3,89.8,21.4,62.7,45.8,52.2,8.2,76.8,63.4,41.3
jprichardson,string.js,35.4,6.6,,51.7,83.2,2.6,7.7,,,40.9,55.7,57.5,8.5,41.7,26.8,33.6,,46.8,38.6,26.4
goldhand,sw-precache-webpack-plugin,28.9,12.3,,49.8,53.5,2.6,7.7,,,40.0,52.8,42.5,55.2,9.6,36.3,78.8,,30.1,32.6,26.9
spalger,gulp-jshint,24.1,18.8,,48.4,29.0,2.6,7.7,,,34.2,29.9,33.4,43.4,30.2,38.4,57.5,,57.7,22.0,24.8
