owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
auth0,node-jsonwebtoken,31.9,24.3,58.4,69.5,46.5,20.1,7.8,51.6,87.7,83.0,4.3,31.4,20.5,15.3,69.6,31.5,39.4,46.025,34.199999999999996,37.24166666666667,704.0,685.5,B,B
react-bootstrap,dom-helpers,10.4,0.0,15.2,37.4,32.5,0.0,0.0,38.2,29.2,31.7,74.2,17.9,83.2,0.0,38.9,17.675,26.4,15.75,35.0,22.808333333333334,240.0,316.5,D,D
mde,ejs,27.9,0.0,77.4,65.7,41.8,3.5,0.0,68.2,75.2,76.4,83.3,37.9,51.4,0.2,60.1,28.375,40.8,42.75,37.4,36.175000000000004,676.0,730.5,B,B
TooTallNate,node-bindings,5.3,0.0,19.4,78.5,31.0,0.0,0.0,29.2,29.3,38.8,4.2,44.5,9.6,0.0,36.5,15.05,20.2,25.8,22.65,21.166666666666668,183.0,156.5,F,F
hij1nx,EventEmitter2,15.7,0.0,75.5,0.0,34.6,2.5,0.0,59.5,61.9,58.3,61.1,56.9,31.9,0.0,54.9,24.15,30.9,22.8,35.925,27.625,441.0,478.0,C,C
sindresorhus,pretty-bytes,19.0,13.6,45.1,76.5,34.1,6.5,10.6,50.6,46.6,35.7,85.4,34.9,42.3,10.1,49.9,25.45,35.1,38.55,34.3,32.766666666666666,606.0,593.5,B,C
webpack-contrib,sass-loader,53.2,28.7,55.8,62.3,48.6,28.9,29.3,68.5,67.2,68.3,87.6,50.8,76.4,30.7,50.5,43.825,51.7,50.0,52.099999999999994,48.64166666666667,933.0,916.5,A,A
AriaMinaei,pretty-error,6.7,0.0,37.8,51.7,29.5,0.0,0.0,48.7,53.5,26.3,86.0,28.9,62.9,0.0,33.7,19.55,28.7,24.05,31.375,24.991666666666664,332.5,402.5,D,C
handlebars-lang,handlebars.js,37.6,25.2,55.8,19.0,52.6,30.8,30.4,75.6,88.1,90.1,76.2,48.2,78.1,29.4,75.9,47.35,52.3,34.400000000000006,57.900000000000006,46.550000000000004,892.0,925.5,A,A
browserify,commonjs-assert,22.6,8.6,36.1,64.6,35.6,11.8,10.7,22.2,24.7,29.1,4.1,30.9,20.1,9.0,30.8,20.075,23.6,32.974999999999994,22.700000000000003,25.25,345.0,236.5,D,D
JedWatson,classnames,53.4,29.1,61.5,61.9,49.0,35.9,26.4,63.5,87.6,71.4,75.0,20.1,47.9,28.2,69.9,43.7,50.2,51.475,41.525,45.56666666666667,875.0,894.5,A,A
motdotla,dotenv-expand,52.8,23.7,68.8,74.7,35.3,2.5,7.9,44.7,43.7,39.4,83.9,11.8,70.3,15.8,53.1,22.6,40.3,55.0,37.75000000000001,38.449999999999996,736.5,719.5,B,B
mafintosh,tar-fs,27.3,1.3,24.6,69.7,33.2,2.5,8.0,39.2,27.7,36.0,65.3,27.7,32.6,11.6,48.8,20.725,28.9,30.725,30.175,27.208333333333332,421.5,406.0,C,C
webpack-contrib,mini-css-extract-plugin,53.2,27.6,59.6,62.6,51.0,26.2,26.8,62.5,68.4,67.3,86.8,27.6,64.1,30.0,56.7,41.625,49.6,50.75,44.6,45.65833333333333,877.0,883.0,A,A
webpack,webpack-dev-server,58.4,30.3,79.0,58.6,49.8,36.1,18.8,78.6,75.7,85.9,89.7,62.9,64.4,31.5,76.7,45.825,56.9,56.575,58.87500000000001,53.75833333333333,991.0,987.0,A,A
bripkens,connect-history-api-fallback,12.9,2.2,31.0,54.5,32.6,2.4,5.0,56.5,55.9,47.6,90.2,32.1,83.4,3.4,21.0,24.125,32.7,25.15,34.975,28.083333333333332,461.0,542.5,C,C
webpack-contrib,file-loader,30.6,0.0,60.6,62.5,30.5,0.0,0.0,65.5,56.1,60.9,87.9,57.1,88.1,0.0,56.6,24.0,40.6,38.425,50.449999999999996,37.625,715.0,725.0,B,B
jashkenas,underscore,34.9,16.1,58.6,57.2,43.3,14.4,12.0,78.3,94.4,96.3,72.9,49.5,75.3,17.6,81.6,37.0,50.3,41.7,55.99999999999999,44.9,859.5,897.0,A,A
github,fetch,49.9,26.0,83.1,57.2,53.1,37.2,32.3,78.4,93.3,93.2,85.0,42.1,51.2,36.0,73.2,50.25,56.7,54.05,50.625,51.64166666666667,973.0,984.5,A,A
prettier,eslint-plugin-prettier,39.1,28.2,73.7,22.5,54.4,35.9,31.3,51.6,63.4,54.2,72.0,16.9,54.8,32.4,58.1,43.300000000000004,45.4,40.875,40.550000000000004,41.57500000000001,808.0,819.5,A,A
winstonjs,winston,32.6,33.6,89.2,47.8,56.6,34.1,34.4,75.0,91.2,88.6,59.9,60.2,50.3,33.0,76.4,50.025,55.2,50.8,54.974999999999994,51.93333333333333,976.0,970.0,A,A
nodejs,node-gyp,34.1,29.5,83.0,56.1,57.6,35.3,37.4,74.0,78.9,88.2,77.4,51.6,38.0,38.8,67.6,51.075,54.1,50.675,48.99999999999999,50.25,955.0,954.5,A,A
jsx-eslint,eslint-plugin-jsx-a11y,19.7,23.0,80.2,22.6,53.2,26.5,30.3,63.5,64.3,73.3,84.4,32.0,49.6,34.4,78.0,43.375,47.6,36.375,48.5,42.75,827.5,848.5,A,A
expressjs,serve-index,12.9,0.0,38.6,54.9,33.2,0.0,0.0,53.3,30.9,49.2,90.3,42.8,48.0,0.0,14.2,21.625,27.9,26.6,26.25,24.825,324.0,369.0,D,D
zspecza,common-tags,15.9,0.0,73.9,60.3,28.7,0.0,0.0,31.2,57.7,34.1,4.0,29.0,59.5,0.0,61.9,14.975,29.7,37.525000000000006,37.6,30.033333333333335,536.0,437.0,C,C
felixge,node-stack-trace,3.9,0.0,33.5,78.9,33.3,0.0,0.0,33.1,31.6,23.5,30.9,46.4,63.9,0.0,48.2,16.6,27.7,29.075000000000003,39.625,28.433333333333337,477.0,362.0,C,D
ramda,ramda,44.3,22.6,49.3,36.8,52.3,29.0,35.4,71.7,92.3,86.0,60.5,47.8,66.9,30.4,92.1,47.1,53.0,38.25,59.3,48.21666666666666,925.0,938.0,A,A
syntax-tree,unist-util-visit,30.5,5.2,67.6,47.9,32.5,10.4,5.1,32.7,22.3,15.4,62.3,30.6,40.1,4.2,35.5,20.174999999999997,28.3,37.8,27.6,28.524999999999995,482.0,385.5,C,D
sindresorhus,gzip-size,22.7,0.0,52.8,33.5,33.4,0.0,0.0,37.0,19.2,14.8,84.1,29.9,42.7,0.0,46.6,17.6,26.3,27.25,29.800000000000004,24.883333333333336,327.0,312.5,D,D
survivejs,webpack-merge,33.5,11.2,70.3,32.1,44.1,12.6,20.6,50.7,61.1,47.5,78.5,15.8,57.3,14.7,44.0,32.0,38.0,36.775,32.95,33.90833333333334,632.0,657.0,B,B
indutny,elliptic,4.1,0.0,26.9,73.5,35.6,0.0,0.0,56.6,54.0,65.7,82.7,24.1,74.1,0.0,54.5,23.05,34.4,26.125,38.175,29.116666666666664,501.0,582.0,C,C
cssnano,cssnano,45.2,29.8,54.6,13.8,50.4,33.0,31.6,65.6,68.3,63.5,87.4,43.3,67.1,33.5,68.8,45.15,49.1,35.85000000000001,53.175,44.725,857.0,873.5,A,A
graphql,graphql-js,32.7,27.6,43.5,21.3,54.2,34.4,34.9,56.5,89.4,89.6,3.9,43.1,54.9,39.9,74.8,45.00000000000001,46.4,31.275000000000002,53.175,43.15,836.0,833.0,A,A
kulshekhar,ts-jest,46.4,34.1,66.6,37.8,54.7,33.6,34.0,60.3,73.8,68.8,63.6,35.0,75.2,38.0,65.3,45.650000000000006,51.7,46.224999999999994,53.375,48.416666666666664,928.0,916.5,A,A
aws,aws-sdk-js,47.1,29.8,87.6,46.8,56.9,38.0,36.4,58.4,75.3,86.9,3.7,67.8,24.6,40.5,60.9,47.425000000000004,49.3,52.825,48.45,49.56666666666666,948.5,877.5,A,A
