owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
d3,d3,22.4,25.4,19.3,53.5,46.2,30.9,34.5,80.8,99.3,98.8,49.4,75.5,52.9,36.0,45.5,48.099999999999994,48.2,30.15,52.475,43.574999999999996,852.0,867.0,A,A
karma-runner,karma-chrome-launcher,1.1,1.7,49.5,64.2,22.4,9.7,0.0,50.3,32.3,45.4,74.0,49.5,71.7,10.3,56.3,20.6,34.1,29.125,46.95,32.225,612.0,587.5,B,C
SamVerschueren,listr,0.0,0.0,59.6,59.0,22.2,0.0,0.0,44.0,64.1,45.3,56.8,9.8,45.6,0.0,56.0,16.55,28.7,29.65,27.849999999999998,24.683333333333334,366.0,425.0,D,C
sass,node-sass,28.5,24.7,73.2,46.6,33.8,7.4,0.0,75.7,77.4,84.5,75.6,65.2,51.1,17.6,41.5,29.225,42.3,43.25,43.849999999999994,38.775,758.0,762.5,B,B
ladjs,consolidate,0.0,10.9,37.4,42.0,28.9,17.5,19.8,11.7,8.4,6.9,27.5,4.0,27.0,16.8,74.0,19.474999999999998,23.9,22.575,30.45,24.166666666666668,342.0,260.0,D,D
webpack-contrib,stylus-loader,0.0,17.4,62.5,62.4,31.2,26.1,26.6,46.3,33.8,40.4,68.8,42.0,64.1,27.4,52.5,32.550000000000004,39.5,35.575,46.5,38.208333333333336,746.0,709.0,B,B
yeikos,js.merge,0.0,5.8,34.1,50.0,21.9,12.8,11.5,38.7,19.5,24.6,66.9,43.8,50.7,9.8,22.9,21.225,26.1,22.475,31.799999999999997,25.166666666666668,393.0,336.5,D,D
expressjs,session,41.5,27.6,59.1,57.3,36.2,25.9,22.8,52.7,72.8,80.7,9.2,48.2,25.4,23.2,60.2,34.4,40.9,46.375,39.25,40.00833333333333,788.5,741.5,B,B
react-bootstrap,react-bootstrap,26.7,28.9,62.7,37.5,47.2,36.3,38.2,75.5,91.4,94.6,65.7,50.2,73.8,37.0,52.7,49.3,52.4,38.95,53.425,47.225,920.0,933.0,A,A
stylelint-scss,stylelint-scss,30.3,30.6,73.8,10.9,40.5,41.0,32.2,41.5,43.2,38.5,48.0,36.4,58.0,38.2,71.1,38.8,42.9,36.4,50.925000000000004,42.041666666666664,828.0,782.0,A,B
palantir,tslint,0.0,0.0,39.4,51.6,18.2,0.0,0.0,70.2,72.3,79.9,70.8,57.6,76.8,0.0,61.6,22.1,36.3,22.75,49.0,31.28333333333333,590.5,638.5,C,B
bvaughn,react-virtualized,26.3,0.0,83.5,47.0,27.7,6.3,0.0,60.6,93.2,93.7,36.7,18.8,73.5,0.0,73.0,23.650000000000002,40.0,39.2,41.325,34.725,660.0,720.5,B,B
xmldom,xmldom,19.9,24.9,65.2,2.0,37.8,40.5,31.2,34.9,25.5,37.6,56.5,19.9,58.7,38.3,60.9,36.1,38.0,28.0,44.449999999999996,36.18333333333333,696.5,672.5,B,B
gulpjs,plugin-error,0.0,0.0,43.8,56.1,22.5,0.0,0.0,27.9,10.1,13.3,64.5,23.9,49.9,0.0,31.9,12.6,21.9,24.975,26.424999999999997,21.333333333333332,227.0,212.0,D,D
Automattic,mongoose,32.8,30.0,86.3,55.8,54.4,47.0,40.8,84.7,93.7,94.7,75.3,75.0,55.0,43.8,42.6,56.724999999999994,57.6,51.224999999999994,54.099999999999994,54.01666666666666,995.0,992.5,A,A
karma-runner,karma-jasmine,1.1,13.7,41.2,64.3,27.2,9.7,7.0,53.2,34.8,50.9,73.7,53.5,73.1,13.2,65.0,24.275000000000002,37.1,30.075,51.199999999999996,35.18333333333333,673.0,656.0,B,B
jaredhanson,passport,31.4,10.6,63.8,84.3,38.0,18.7,7.1,69.7,91.5,83.3,61.4,42.4,46.3,9.5,39.8,33.375,42.6,47.52499999999999,34.5,38.46666666666666,752.0,774.0,B,B
jinder,path,1.2,0.0,29.8,49.6,21.0,1.0,0.0,32.8,17.0,36.1,58.6,19.4,39.1,0.0,10.6,13.7,19.2,20.15,17.275,17.041666666666664,127.0,149.5,F,F
chjj,blessed,25.0,0.0,52.6,62.3,25.6,0.0,0.0,55.8,81.1,70.8,37.2,34.2,29.9,0.0,10.6,20.35,28.2,34.974999999999994,18.675,24.666666666666668,364.0,410.5,D,C
