owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,usage_popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,trustee_avg,popularity_component,community_activity_and_integrity_component,maintenance_and_goodwill_component,code_quality_component,component_avg,component_rank,component_rank_grade,trustee_rank,trustee_rank_grade,component_zscore,component_z_grade,trustee_zscore,trustee_z_grade
nfl,react-helmet,35.1,20.1,0.6,73.6,45.9,11.9,30.4,5.5,0.0,60.1,87.3,75.0,58.7,19.5,50.2,80.5,0.0,70.2,58.1,39.3,73.76666666666667,27.416666666666664,35.05,42.55,35.00555555555555,643.0,B,682.0,B,0.36140508921795145,C,0.5271111573475185,B
node-js-libs,cli,23.7,8.8,0.0,32.8,53.1,7.2,21.6,0.0,0.0,41.3,41.4,34.7,42.9,46.0,21.1,32.4,0.0,30.8,27.8,23.3,39.666666666666664,15.316666666666666,23.674999999999997,27.3,22.097222222222218,213.0,D,226.5,D,-0.7743264937912232,D,-0.7424243853969875,D
koajs,compose,37.0,19.9,0.0,57.0,71.2,7.2,21.6,0.0,0.0,43.4,45.6,48.3,49.6,30.1,40.3,63.4,5.5,52.0,33.7,32.0,47.76666666666667,17.34166666666667,37.025000000000006,37.75,30.70555555555556,546.5,C,519.0,C,-0.016927704089171318,C,-0.0521144340296623,C
http-party,http-server,40.8,32.6,1.1,77.5,52.2,14.8,31.2,13.1,0.0,68.1,83.9,86.1,48.3,54.2,48.0,66.2,18.1,59.7,61.6,42.9,72.86666666666666,29.291666666666664,40.849999999999994,49.55,39.89722222222222,760.0,B,768.5,B,0.7917953017591944,B,0.8127566544650324,B
ethereumjs,ethereumjs-monorepo,36.7,40.7,29.5,37.6,38.9,43.9,48.3,45.6,37.9,48.2,59.8,74.0,13.4,45.5,54.6,46.7,44.0,73.0,59.2,45.8,48.79999999999999,45.15,36.675000000000004,52.3,44.708333333333336,855.0,A,823.0,A,1.2150978844516611,B,1.042859971587474,B
dcodeIO,bcrypt.js,27.9,22.3,0.0,44.1,45.1,11.3,28.4,5.5,0.0,46.3,64.8,59.5,23.4,37.4,14.5,24.9,0.0,18.6,45.2,25.0,49.300000000000004,20.8,27.875,20.225,22.96666666666667,241.0,D,272.0,D,-0.6978289716302862,D,-0.6075362339803837,D
goto100,xpath,38.5,45.0,32.4,36.3,40.1,32.2,40.5,29.5,26.5,31.6,21.2,32.9,35.6,36.9,31.7,33.2,13.2,48.8,28.8,33.5,29.933333333333334,31.608333333333334,38.449999999999996,33.025,34.361111111111114,627.0,B,565.0,C,0.3047040504277371,C,0.06690452310263516,C
hapijs,boom,36.0,32.1,7.6,47.2,57.2,11.3,28.4,5.5,0.0,56.2,62.3,54.0,68.6,40.0,39.1,46.1,6.9,64.2,42.5,35.7,61.666666666666664,23.891666666666666,36.025000000000006,39.300000000000004,33.07222222222222,602.0,B,604.5,B,0.19130197284730716,C,0.24146566023000499,C
request,request-promise,29.6,13.9,1.2,53.0,50.5,9.6,26.8,2.1,0.0,52.2,68.7,62.2,48.7,29.1,33.0,43.3,0.0,55.8,46.8,31.1,59.96666666666666,22.216666666666665,29.650000000000002,32.05,27.972222222222218,441.0,C,487.0,C,-0.25741831688904887,C,-0.12352580830904066,C
expressjs,errorhandler,34.3,30.6,0.0,49.5,57.3,7.3,21.9,0.0,0.0,42.3,30.0,30.4,68.4,40.4,26.2,51.9,0.0,26.7,22.6,27.5,42.96666666666667,16.21666666666667,34.349999999999994,29.75,26.772222222222222,393.0,D,355.5,D,-0.36299956153289686,C,-0.40917130542655467,C
