owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull
twbs,bootstrap,3,1,224,257,984,155,177,259,33,242,287,35,77,75,210,752,498,704,N/A,21,587,153,135,133,24,29,29,55,233,238,223
markdown-it,markdown-it,131,124,441,258,578,77,321,357,200,333,296,313,199,236,262,801,287,335,343,204,727,393,610,N/A,100,92,205,125,124,241,222
facebook,create-react-app,8,8,145,260,173,120,205,339,182,113,186,114,86,9,135,292,758,935,884,257,223,156,816,141,40,N/A,112,N/A,430,418,221
d3,d3-shape,398,374,483,259,635,N/A,N/A,125,402,44,N/A,936,822,672,905,572,338,481,575,486,802,337,691,247,429,403,472,414,466,116,220
pinojs,pino,164,221,498,261,929,154,242,269,90,265,265,192,312,186,209,656,750,400,336,99,102,247,776,33,53,47,96,120,208,115,209
socketio,socket.io,19,24,235,263,634,119,263,280,257,391,354,401,212,623,259,579,778,888,719,190,725,391,28,175,73,127,239,176,250,379,219
gajus,eslint-plugin-flowtype,526,504,178,262,633,N/A,N/A,N/A,N/A,N/A,N/A,422,385,131,16,156,643,527,337,706,89,229,774,101,N/A,N/A,N/A,N/A,N/A,N/A,218
npm,read,799,773,406,264,910,153,N/A,N/A,131,234,258,185,85,117,822,150,609,184,338,104,631,549,171,533,523,221,139,204,465,240,232
webpack-contrib,raw-loader,569,608,322,265,632,N/A,N/A,N/A,N/A,N/A,N/A,80,311,622,572,424,309,923,845,688,690,584,211,466,N/A,N/A,N/A,N/A,N/A,N/A,231
npm,cli,236,69,808,266,62,68,241,287,39,196,230,21,4,116,635,149,606,665,910,30,826,63,942,13,21,25,39,36,268,239,230
d3,d3-scale,462,380,486,267,630,N/A,13,16,401,28,397,441,821,621,898,571,339,495,676,465,724,428,678,196,428,402,380,415,283,424,229
less,less.js,130,57,921,268,909,N/A,308,364,220,346,270,188,74,146,571,808,64,772,856,231,735,148,24,270,138,270,196,325,327,363,228
sindresorhus,multimatch,751,819,440,269,626,N/A,N/A,N/A,N/A,N/A,N/A,780,118,620,570,30,428,138,330,488,240,667,462,503,N/A,401,N/A,393,N/A,N/A,216
dankogai,js-base64,325,153,240,273,123,N/A,N/A,402,342,100,187,N/A,386,619,455,359,100,124,331,264,387,539,4,N/A,522,319,429,293,464,41,226
mikehall314,es6-promisify,658,782,319,274,624,N/A,N/A,N/A,N/A,N/A,N/A,497,587,618,634,846,895,826,696,493,795,858,517,343,N/A,N/A,N/A,N/A,N/A,N/A,225
oliviertassinari,babel-plugin-transform-react-remove-prop-types,556,703,191,272,623,N/A,N/A,N/A,N/A,N/A,N/A,318,586,617,196,262,956,884,827,700,693,338,753,233,N/A,N/A,N/A,N/A,N/A,N/A,235
npm,osenv,823,838,217,270,622,N/A,N/A,N/A,N/A,N/A,N/A,779,487,616,444,143,604,632,857,699,549,853,235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,213
bevacqua,hash-sum,754,820,284,271,637,N/A,N/A,N/A,N/A,N/A,N/A,675,618,631,728,167,223,382,707,698,974,N/A,695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,212
mongodb,js-bson,527,398,999,275,104,32,N/A,N/A,96,251,303,461,488,630,256,184,838,601,589,220,388,183,206,239,N/A,94,100,158,N/A,40,211
bjyoungblood,es6-error,786,789,459,276,617,N/A,N/A,N/A,N/A,N/A,N/A,778,582,629,736,295,490,834,784,697,309,606,647,486,N/A,N/A,N/A,N/A,N/A,N/A,210
jest-community,jest-watch-typeahead,705,856,196,278,130,113,N/A,N/A,110,342,406,454,825,628,727,812,793,740,324,153,584,402,927,322,N/A,318,127,155,N/A,39,249
babel,babel-eslint,373,421,218,277,615,N/A,N/A,N/A,N/A,N/A,N/A,136,330,237,328,528,579,900,761,695,74,382,634,257,N/A,N/A,N/A,N/A,N/A,N/A,208
niksy,throttle-debounce,542,582,445,280,614,N/A,105,147,N/A,N/A,N/A,777,581,627,327,177,625,566,325,694,627,700,611,516,521,N/A,N/A,N/A,17,N/A,207
gulpjs,vinyl,498,587,354,279,629,N/A,N/A,N/A,N/A,N/A,N/A,453,329,626,326,478,370,263,326,462,189,486,445,295,N/A,N/A,N/A,N/A,N/A,N/A,206
webpack-contrib,webpack-hot-middleware,405,368,395,281,908,160,144,133,241,397,109,342,328,625,211,416,307,584,573,692,66,526,658,532,437,175,274,283,16,118,217
puppeteer,puppeteer,13,27,487,282,9,202,225,146,10,128,193,50,213,624,453,875,938,768,574,22,912,130,870,24,16,35,10,22,146,117,295
sockjs,sockjs-client,229,158,205,284,179,N/A,90,113,276,409,392,402,332,149,260,871,36,529,665,144,803,379,133,370,276,314,278,383,435,360,294
philbooth,bfj,811,906,197,283,603,N/A,N/A,N/A,N/A,N/A,N/A,357,382,262,95,784,333,378,390,691,858,838,620,N/A,N/A,N/A,N/A,N/A,N/A,N/A,318
reduxjs,redux-thunk,118,186,287,285,931,N/A,217,20,263,61,80,790,331,263,454,787,745,588,667,263,99,476,694,354,304,168,285,205,24,299,299
mongodb,node-mongodb-native,207,117,249,309,44,47,N/A,N/A,38,230,280,656,197,33,109,183,839,757,613,46,885,70,17,123,N/A,76,40,69,N/A,33,286
omnidan,node-emoji,497,411,358,298,56,112,246,311,134,125,215,287,5,637,184,505,265,854,650,62,449,321,560,328,353,193,142,139,206,214,285
expressjs,serve-favicon,629,654,428,301,600,N/A,94,17,N/A,N/A,N/A,235,515,636,518,640,189,409,394,659,663,864,477,334,527,N/A,N/A,N/A,23,N/A,284
request,request-promise-native,522,658,244,297,599,N/A,N/A,N/A,N/A,N/A,N/A,421,824,635,586,725,241,306,395,653,841,902,804,N/A,N/A,N/A,N/A,N/A,N/A,N/A,283
brianc,node-postgres,184,174,961,311,57,35,155,271,122,385,213,382,537,634,342,260,82,828,804,169,547,207,68,N/A,68,79,122,208,246,297,282
jasmine,jasmine,138,89,763,310,549,N/A,158,145,291,210,177,196,194,151,585,861,63,340,396,652,485,179,2,171,243,271,343,194,104,45,293
expressjs,multer,186,187,342,313,594,N/A,320,437,399,92,114,234,531,633,324,636,196,320,382,651,91,442,472,N/A,177,313,428,345,381,391,292
paulmillr,es6-shim,367,324,562,314,593,N/A,80,109,N/A,N/A,N/A,260,535,632,472,402,849,427,383,373,789,684,178,178,526,444,N/A,407,18,N/A,311
shellscape,webpack-manifest-plugin,475,467,188,312,592,N/A,N/A,N/A,N/A,N/A,N/A,74,117,647,70,361,830,820,670,328,386,446,645,387,525,N/A,N/A,N/A,462,N/A,291
i18next,i18next,254,272,549,465,41,48,392,168,128,326,44,356,333,197,916,556,769,733,669,269,619,303,175,71,60,84,144,81,92,44,290
socketio,socket.io-client,199,64,268,467,590,N/A,421,292,343,130,52,507,198,646,833,580,777,908,643,223,287,421,27,181,172,346,425,272,420,43,289
stylelint,stylelint,194,195,432,564,912,215,290,158,26,150,120,110,6,167,434,768,841,734,387,44,790,91,604,49,49,40,27,33,151,42,288
stephenhandley,requireindex,854,875,458,563,605,N/A,N/A,N/A,N/A,N/A,N/A,868,917,645,778,543,566,14,388,650,887,923,219,N/A,N/A,N/A,N/A,N/A,N/A,N/A,287
eslint-community,eslint-plugin-promise,559,610,359,561,604,N/A,N/A,236,N/A,N/A,161,272,72,48,662,854,949,735,389,381,90,333,764,566,331,N/A,488,N/A,461,N/A,301
expressjs,morgan,241,289,267,562,585,N/A,25,24,N/A,N/A,N/A,195,532,644,343,631,199,377,375,585,329,729,478,313,413,N/A,487,N/A,357,N/A,300
googlechrome,workbox,178,229,193,565,175,N/A,403,328,344,21,309,105,343,176,832,648,697,928,376,221,630,78,795,140,108,N/A,174,N/A,398,442,303
vuejs,core,31,31,960,663,139,161,195,190,21,347,188,44,342,643,564,312,721,579,580,24,418,158,938,55,9,7,18,9,182,310,298
npm,fstream,793,732,256,664,582,N/A,N/A,N/A,N/A,N/A,N/A,925,533,642,936,141,610,539,872,584,289,566,160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,297
sindresorhus,debounce,614,652,405,665,597,N/A,444,487,396,434,411,858,116,641,665,22,447,151,378,473,225,736,406,589,503,250,486,256,19,152,296
luin,ioredis,160,178,532,666,596,103,196,426,345,194,364,N/A,341,148,23,345,556,738,704,327,376,217,649,80,72,443,251,408,415,433,315
ladjs,supertest,157,238,364,667,911,N/A,383,471,394,399,N/A,N/A,71,640,306,376,773,239,703,405,3,570,238,263,301,345,479,295,427,151,314
dominictarr,map-stream,836,843,388,668,595,N/A,N/A,N/A,N/A,N/A,N/A,860,918,591,938,65,93,15,381,598,655,874,262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,313
cthackers,adm-zip,428,339,338,671,172,N/A,40,337,393,143,53,451,534,590,664,885,233,363,576,597,201,311,197,522,237,344,478,392,448,150,312
bgrins,TinyColor,305,314,874,670,575,N/A,442,484,392,22,N/A,956,546,589,11,276,564,48,345,400,501,706,125,600,390,N/A,477,N/A,359,149,316
dominictarr,event-stream,411,501,399,669,574,N/A,N/A,N/A,N/A,N/A,N/A,965,545,588,122,64,94,148,647,640,419,793,141,588,N/A,N/A,N/A,N/A,N/A,N/A,310
adaltas,node-csv,332,393,639,672,589,N/A,300,370,301,126,207,947,195,137,663,338,890,360,371,258,845,239,61,N/A,171,214,356,119,336,148,309
airbnb,javascript,4,9,346,674,67,13,87,77,93,91,160,252,344,587,28,226,511,412,372,111,9,458,295,N/A,134,140,91,239,88,228,308
janl,mustache.js,137,82,958,675,587,N/A,216,95,N/A,N/A,N/A,293,544,586,140,222,263,611,931,591,500,123,10,386,360,N/A,N/A,N/A,385,N/A,307
log4js-node,log4js-node,280,234,957,673,586,N/A,173,295,304,426,N/A,358,530,585,474,806,658,694,578,171,445,241,18,N/A,165,343,272,311,367,405,306
beautifier,js-beautify,228,148,423,676,930,196,335,318,107,321,391,115,191,1,146,952,504,494,579,140,157,383,3,316,148,110,119,98,226,227,305
AvianFlu,ncp,618,593,401,677,558,N/A,N/A,N/A,N/A,N/A,N/A,N/A,542,584,870,651,25,246,415,590,437,551,142,N/A,N/A,N/A,N/A,N/A,N/A,N/A,304
sindresorhus,clipboardy,452,639,318,679,573,N/A,15,25,N/A,N/A,N/A,450,121,599,587,23,455,136,416,469,436,671,842,493,389,381,N/A,382,363,N/A,278
eligrey,FileSaver.js,95,43,889,678,572,N/A,16,481,N/A,N/A,N/A,244,541,598,390,358,543,669,778,588,18,636,130,403,272,N/A,N/A,N/A,439,N/A,270
mysticatea,eslint-plugin-node,547,500,386,681,571,N/A,N/A,349,391,29,54,334,539,597,304,331,665,385,417,284,804,329,744,193,517,N/A,469,N/A,528,142,277
shama,gaze,515,477,257,682,570,N/A,N/A,N/A,N/A,N/A,N/A,646,538,596,344,136,83,170,418,587,508,631,287,N/A,N/A,N/A,N/A,N/A,N/A,N/A,276
csstools,postcss-normalize,578,767,200,680,905,N/A,N/A,N/A,N/A,N/A,N/A,769,345,225,489,326,669,463,419,586,893,881,690,590,N/A,380,468,417,N/A,N/A,275
helmetjs,helmet,206,337,452,684,171,N/A,334,249,243,131,115,N/A,196,52,875,778,334,664,420,247,743,440,190,N/A,202,251,267,185,161,141,274
jeremyfa,yaml.js,561,518,565,683,568,N/A,N/A,N/A,N/A,N/A,N/A,954,555,595,419,341,599,37,421,645,860,499,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,273
lovell,sharp,54,165,417,689,93,63,259,164,156,151,209,251,119,594,488,503,788,336,411,119,612,315,404,143,28,80,169,53,93,154,272
redis,node-redis,132,113,465,685,74,67,237,285,165,394,311,226,60,132,151,694,541,598,592,86,851,197,57,98,51,53,132,131,270,369,281
sindresorhus,pretty-ms,544,677,488,688,83,N/A,260,49,272,30,55,768,126,593,660,21,430,113,413,362,100,739,505,449,422,335,328,324,293,153,271
