owner,repo,stars,forks,issue_closed_rate,issue_time_to_close,issue_time_to_response,issue_monthly,issue_participants,labeled_issues,pulls_closed_rate,pulls_time_to_close,pulls_time_to_response,pulls_monthly,pulls_participants,pulls_merged_rate,issues_average_comments,pulls_average_comments,code_review_score,maintained_score,vulnerabilities,issue_per_participants,pulls_per_participants,open_issues,dependent_repositories,dependent_packages,commits_with_vertification_rate,commits_avg_msg_length,commits_author_count,commits_committer_count,issue_commented_rate,readme_headers_num,watchers,network_count,subscribers_count,comments_avg_length,pulls_last_90days,commmits_last_90days,health_percentage,projects_owned_by_maintainer,age_of_other_projects,workflow_runs_count,contributors_per_code_file,files_with_more_than_1_contributors,labels,releases,time_since_created,created_time,pull_authors_dec,pull_authors_jan,pull_difference,pull_authors_2024,Usage_Popularity,outdated_dependencies,headings_count
zero1five,lambda,0.00,0.00,,,,,0.00,0.00,3.00,1.68,1.85,0.07,0.02,1.00,,0.37,0.91,0.00,5.91,,0.00,0.06,0.00,0.00,0.00,0.06,0.01,0.03,,0.16,0.00,0.00,0.00,,,,4.20,0.68,3.95,0.00,0.00,0.00,0.15,,,2.66,,,0.82,,0.00,0.00,0.00
ssbc,patchwork,0.16,0.05,10.00,1.03,0.49,0.58,1.83,7.42,10.00,0.28,0.08,0.45,2.24,7.00,2.06,2.56,0.91,0.00,1.77,1.47,1.00,0.00,0.00,0.00,3.00,0.12,0.51,1.08,8.90,0.79,0.16,0.05,0.18,1.34,,,6.20,2.24,3.72,0.00,1.51,0.26,0.43,0.15,,5.46,,,0.82,,0.00,0.00,0.00
Travelab,scot4,0.00,0.00,10.00,0.66,0.01,0.04,0.01,0.10,10.00,0.25,0.09,0.50,0.02,2.00,1.62,1.10,0.91,0.00,4.87,0.59,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,4.00,0.87,0.00,0.00,0.00,9.55,,,3.70,0.06,5.24,0.00,0.10,0.02,0.12,0.16,,4.43,,,0.82,,0.00,0.00,0.00
facebook,metro,0.23,0.08,5.00,0.97,0.80,0.36,7.52,0.90,9.00,0.54,0.17,0.40,4.13,0.00,2.65,3.29,10.00,10.00,0.52,6.18,2.00,0.54,0.44,0.02,0.00,0.86,2.03,0.78,7.70,0.63,0.23,0.08,0.14,1.36,0.72,1.48,8.70,1.22,4.61,0.00,2.12,0.57,0.42,0.30,,4.45,0.81,1.22,1.64,1.14,0.44,0.00,5.71
react-zeroconfig,react-zeroconfig,0.00,0.00,6.00,0.35,,0.04,0.00,0.00,10.00,0.14,0.00,0.09,0.14,10.00,0.00,0.73,0.91,0.00,2.97,0.00,1.00,0.01,0.00,0.00,0.00,0.06,0.00,0.02,0.00,1.43,0.00,0.00,0.01,,,,3.70,0.01,0.00,0.00,,,0.12,0.04,,3.03,,,0.82,,0.00,0.00,0.00
websage-team,super-project,0.00,0.00,6.80,0.46,0.89,0.24,0.06,3.14,10.00,0.00,,0.24,0.00,10.00,0.74,0.00,0.91,10.00,0.00,0.00,0.00,0.11,0.00,0.00,1.00,0.05,0.04,0.08,5.20,0.24,0.00,0.00,0.01,0.47,0.10,0.28,5.00,0.10,5.06,0.00,0.18,0.20,0.25,0.29,,4.16,0.27,0.00,0.68,0.00,0.00,0.00,1.14
devCrossNet,universal-cli,0.00,0.00,,,,,0.00,0.00,9.00,2.11,0.01,0.24,0.25,5.00,,4.27,0.91,0.00,0.00,,3.00,0.08,0.00,0.00,0.00,0.17,0.95,0.58,,,0.00,1.53,0.03,,,,,0.13,2.57,0.00,0.80,0.27,0.22,,,4.84,,,0.82,,0.00,0.00,5.14
skypager,skypager,0.00,0.00,3.30,0.51,0.00,0.06,0.01,0.06,4.00,0.77,0.00,0.05,0.07,8.00,1.99,0.85,0.91,0.00,7.24,0.88,1.50,0.02,0.00,0.00,0.00,0.05,0.01,0.05,3.30,1.43,0.00,0.00,0.01,4.79,,,5.00,0.35,5.48,0.00,0.01,0.00,0.15,,,3.25,,,0.82,,0.00,0.00,2.00
xiefei89,rc-tools,0.00,0.00,,,,,0.00,0.00,,,,,0.00,,,,0.91,0.00,0.00,,,0.00,0.00,0.00,0.00,0.03,0.07,0.21,,0.48,0.00,0.01,0.00,,,,,0.01,0.00,0.00,0.70,0.03,0.12,,,3.45,,,0.82,,0.00,0.00,0.00
nextstrain,auspice,0.01,0.02,6.40,0.53,0.39,0.42,0.89,7.62,9.00,0.36,0.29,0.56,1.36,8.00,1.03,1.34,3.64,10.00,0.69,0.59,0.50,0.44,0.00,0.00,1.00,0.19,0.44,0.92,7.50,0.95,0.01,0.02,0.04,1.43,0.36,0.72,7.50,0.26,3.09,0.01,1.58,0.29,0.30,0.11,,4.89,0.00,0.27,1.10,0.18,0.00,0.00,0.00
andywer,ava-ts,0.01,0.00,6.70,0.13,0.01,0.03,0.10,0.16,9.00,0.10,0.22,0.05,0.14,9.00,3.97,0.98,2.73,0.00,3.32,4.12,1.50,0.01,0.00,0.01,0.00,0.18,0.92,0.50,10.00,0.63,0.01,0.00,0.01,0.75,,,4.20,0.91,5.10,0.00,1.99,0.16,0.13,,,3.85,,,0.82,,0.00,0.00,0.00
GrabarzUndPartner,gp-boilerplate-environment,0.00,0.00,,,,,0.00,0.00,,,,,0.00,,,,0.91,0.00,0.00,,,0.00,0.00,0.00,0.00,0.04,0.01,0.02,,0.08,0.00,0.00,0.01,,,,2.50,0.37,3.48,0.00,0.00,,0.10,,,4.19,,,0.82,,0.00,0.00,0.00
Netflix,conductor,0.59,0.30,7.60,0.27,0.19,0.75,2.33,7.86,10.00,0.20,0.23,1.25,1.59,6.00,0.66,0.37,0.91,0.00,0.73,1.76,0.50,0.30,0.00,0.00,3.00,0.17,1.46,1.70,8.60,1.11,0.59,0.30,0.80,1.80,0.16,0.16,10.00,2.06,5.11,0.04,2.61,0.93,0.40,0.77,,4.46,1.35,,0.00,,0.01,0.00,0.00
Azure,azure-xplat-cli,0.03,0.05,7.40,0.33,0.11,0.98,2.39,6.84,10.00,0.06,0.03,1.02,1.41,9.00,0.81,0.49,4.55,0.00,2.16,2.06,0.50,0.39,0.00,0.00,0.00,0.11,0.94,2.28,9.20,2.86,0.03,0.05,2.77,1.15,,,8.70,10.00,3.34,0.00,2.88,2.55,0.78,0.15,,7.28,,,0.82,,0.00,0.00,0.00
openfin-js-app,react-openfin-scripts,0.00,0.00,,,,,0.00,0.00,,,,,0.00,,,,0.91,0.00,0.00,,,0.00,0.00,0.00,0.00,0.08,0.01,0.02,,0.71,0.00,0.00,0.00,,,,3.70,0.05,3.68,0.00,0.00,,0.12,,,2.83,,,0.82,,0.00,0.00,0.00
vueComponent,tools,0.00,0.00,,,,,0.00,0.00,10.00,0.12,0.00,0.06,0.02,5.00,,0.24,1.82,0.00,0.00,,1.00,0.00,0.00,0.00,0.00,0.03,0.09,0.26,,0.16,0.00,0.01,0.00,,,,,0.18,3.28,0.00,0.72,0.03,0.13,,,3.25,,,0.82,,0.00,0.00,0.00
vatesfr,xo-server,0.00,0.00,,,,,0.00,0.00,,,,,0.00,,,,0.91,0.00,0.00,,,0.00,0.00,0.00,0.00,0.02,0.01,0.02,,0.00,0.00,0.00,0.01,,,,2.50,0.26,5.48,0.00,0.00,,0.12,,,3.67,,,0.82,,0.00,0.00,0.00
yanxlg,rc-tools,0.00,0.00,,,,,0.00,0.00,,,,,0.00,,,,0.91,0.00,0.00,,,0.00,0.00,0.00,0.00,0.02,0.01,0.02,,0.48,0.00,0.00,0.00,,,,2.80,0.59,3.75,0.00,0.00,,0.12,,,3.32,,,0.82,,0.00,0.00,0.00
zxf969175364,keystone,0.00,0.00,,,,,0.00,0.00,,,,,0.00,,,,0.91,0.00,0.00,,,0.00,0.00,0.00,0.00,0.10,0.90,2.33,,1.03,0.00,0.28,0.00,,,,,0.62,3.36,0.00,1.51,1.05,0.10,0.00,,4.83,,,0.82,,0.00,0.00,0.29
umijs,umi,0.67,0.33,9.50,0.01,0.01,2.69,1.50,3.66,9.00,0.11,0.01,2.09,1.66,9.00,0.15,0.49,4.55,10.00,2.50,1.18,0.50,0.34,0.01,0.05,4.00,0.16,2.81,0.39,9.60,0.71,0.67,0.33,0.39,0.51,0.82,0.92,6.20,1.06,3.12,0.86,0.50,1.40,1.28,1.17,,3.81,3.24,0.95,0.14,1.14,0.02,0.00,0.29
cmux,super,0.00,0.00,6.80,0.46,0.89,0.24,0.06,3.14,10.00,0.00,,0.24,0.00,10.00,0.74,0.00,0.91,10.00,0.00,0.00,0.00,0.11,0.00,0.00,1.00,0.05,0.04,0.08,5.20,0.24,0.00,0.00,0.01,0.47,0.10,0.28,5.00,0.15,3.33,0.00,0.18,0.20,0.25,0.29,,4.16,0.27,0.00,0.68,0.00,0.00,0.00,1.14
ssbc,patchbay,0.02,0.01,9.00,1.13,0.82,0.14,0.50,1.48,9.00,0.38,0.18,0.22,0.76,7.00,3.01,3.41,1.82,0.00,3.23,1.47,0.50,0.06,0.00,0.00,1.00,0.06,0.19,0.40,9.30,1.51,0.02,0.01,0.04,1.06,,,3.70,2.24,3.72,0.00,0.86,0.14,0.17,0.03,,4.86,,,0.82,,0.00,0.00,0.00
mbret,chewie-system,0.00,0.00,0.00,,0.00,0.00,0.01,0.00,,,,,0.00,,2.21,,0.91,0.00,0.00,5.88,,0.00,0.00,0.00,0.00,0.02,0.01,0.05,10.00,0.16,0.00,0.00,0.00,0.35,,,1.40,0.71,5.26,0.00,0.00,0.00,0.10,,,4.47,,,0.82,,0.00,0.00,0.00
