owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull
jaredhanson,passport-oauth2,0.03,0.04,0.06,6.40,1.39,,,0.49,0.00,0.40,,0.17,4.20,0.00,0.48,3.78,7.08,0.05,0.39,0.00,0.44,0.01,6.74,,0.05,,0.01,,0.00,2.22,6.84
ForbesLindesay,sync-request,0.01,0.01,0.05,6.40,1.32,,1.48,0.78,,,,0.13,4.20,0.00,0.63,2.54,5.77,0.04,0.00,0.00,0.29,0.00,6.00,,0.02,,,,3.30,,6.84
ljharb,tape,0.26,0.04,0.11,6.40,1.36,,4.73,0.22,0.00,0.02,0.00,0.22,7.50,0.00,5.00,2.22,4.12,0.02,0.00,0.01,0.74,0.04,7.23,,0.03,0.04,0.00,0.12,7.50,10.00,6.84
koajs,bodyparser,0.06,0.02,0.00,6.40,1.32,,,,0.00,0.01,,0.08,8.70,0.00,0.56,0.92,7.06,0.01,0.00,0.00,1.10,0.01,6.39,,0.02,0.00,0.00,0.00,0.00,4.44,6.84
jashkenas,backbone,1.28,0.69,0.02,6.39,1.39,,0.12,0.17,0.06,0.73,0.17,0.20,8.50,4.29,0.00,0.20,7.82,0.26,0.56,0.00,2.72,0.02,8.71,,0.02,0.04,0.06,0.13,4.30,10.00,6.84
typicode,lowdb,0.94,0.11,0.14,6.39,1.25,,0.64,0.25,0.01,1.33,4.24,0.15,5.70,0.00,1.51,0.66,5.13,0.28,0.00,0.00,0.29,0.01,6.31,0.07,0.10,0.00,0.01,0.04,10.00,10.00,6.84
ember-cli,ember-cli-htmlbars,0.00,0.01,0.02,6.39,1.21,,2.50,1.21,0.04,0.74,0.15,0.22,3.70,0.00,0.56,1.01,6.03,1.85,0.69,0.00,0.88,0.02,5.98,0.11,0.03,0.17,0.05,0.04,4.00,7.78,6.84
mozilla,nunjucks,0.38,0.08,0.07,6.39,1.39,,1.99,2.04,0.00,4.73,0.00,0.27,7.50,2.57,0.56,10.00,5.95,0.15,0.00,0.00,1.25,0.03,7.44,0.08,0.05,,0.02,,2.90,1.11,6.84
jshint,jshint,0.41,0.21,0.10,6.39,1.32,,1.93,2.22,,,,0.48,6.20,4.00,0.63,0.07,8.19,0.82,2.54,0.00,1.62,0.03,8.50,0.12,0.02,,0.00,,6.70,,6.84
benjamn,install,0.00,0.00,0.05,6.39,1.32,,,,,,,0.10,4.20,0.00,0.08,1.49,6.49,0.05,0.56,0.00,0.07,0.00,7.09,,,,,,,,6.84
chenglou,react-motion,0.99,0.15,0.02,6.39,1.36,,,,,,0.00,0.13,4.20,0.00,0.87,1.49,5.69,4.39,6.16,0.00,1.47,0.09,5.49,0.01,,,0.00,,,,6.84
ChainSafe,web3.js,0.84,0.60,0.00,6.54,2.16,1.67,1.95,0.63,0.83,0.41,0.01,,10.00,0.00,0.79,3.31,2.23,3.46,0.47,0.26,0.88,0.50,5.96,0.45,0.96,1.04,0.86,0.28,7.50,8.89,6.84
